"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2308215392.39879","2492015641.03631","2638604796.39139","2831425916.12768","3063713346.92111","3141750496.63243","3179005059.45739","3403025483.43789","3470813355.01931","3513783387.79712","3781413851.53957","3669058328.25242","3548946314.49774","3619057427.11674","3905381495.97914","3952806450.553","3994334897.44302","4066241946.94967","4062553550.227","3635183170.35875","3501225595.21165","3621879746.15775","3572264955.1145","3722236937.13161","3753809985.97732","3736895852.66712","3729002590.45569","3778617381.49895","","",
"Afghanistan","AFG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22967928743.7897","24996520016.1976","25350000300.1758","28196733045.5355","29707345737.4189","33814778285.6476","35142002863.0903","42659062967.7152","48785945913.702","48993947132.3454","55241795923.749","58335747859.7652","59925130607.4725","60794832809.755","62168987051.3841","63825972118.5724","64483800919.8564","",
"Angola","AGO","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56412886585.5888","56972140983.9776","53645947453.6576","40779815935.0999","41326005879.1985","47524906773.0063","53961855872.1101","57887190933.9389","60602763836.9826","61924806899.1554","63816377057.7453","66500492955.4101","75588241858.9615","77848216916.0395","86374824504.2591","99356023734.6695","110829342573.97","126356553686.773","140465701260.915","141671897957.529","148556046568.629","153713884832.921","166844351352.891","175110805697.366","183555744152.463","185287731390.655","180507127746.357","180241407849.409","176395969567.046","",
"Albania","ALB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14652216389.5318","10549282000.3847","9791093402.13644","10727064329.8248","11617718170.2747","13165469309.1062","14363526942.9825","12795032086.7492","13924844642.3652","15719742737.0231","16812270537.454","18206019538.1808","19032565659.4063","20085076204.715","21191763641.1227","22363650117.0575","23683124249.8988","25099370825.6665","26981815997.4163","27885725017.0635","28919418568.8654","29655511080.3671","30075885188.1575","30377242161.9497","30916282305.6076","31602237770.7481","32649790250.5596","33897365318.4148","35302491764.8808","",
"Andorra","AND","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2335969581909.9","2343084736497.92","2463240378394.97","2540418613812.49","2615818351527.9","2686444181382.18","2810667750413.96","2931007996615.47","3102467914087.1","3174067516066.26","3340813288410.98","3399353606706.35","3417912939237.45","3569619736117.1","3896946474730.44","4117115970251.77","4370689400111.37","4569963837158.59","4838508267307.19","4883333699351.39","5118541353678.26","5272638544999.42","5621141683381.98","5794009115141.3","5929839773134.04","6119171327700.5","6337450926062.82","6402041033502.53","6544702492317.22","",
"United Arab Emirates","ARE","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205423600109.39","207190411406.299","214120816426.861","216821288788.909","231773606952.959","247274362638.631","261612329324.477","283039421989.557","283865881106.318","292104275440.28","323805488446.168","328335802562.393","336325712510.703","365924194111.091","400930100280.773","420395822747.907","461751504145.992","476455473670.801","491663152318.908","465885637198.927","473352898597.34","506157540235.955","528856813316.109","555581777013.456","579384587582.084","608967599521.268","627607880369.601","630688561187.14","641576449019.1","",
"Argentina","ARG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370966147832.919","404846896277.677","436980774792.396","472843695529.2","500439802615.006","486201241255.883","513072075795.86","554687591831.298","576044056184.227","556542332126.992","552151219031.107","527807756978.584","470305820970.429","511866938234.463","558086338624.299","607486243380.051","656371581729.116","715495242254.303","744524552076.755","700459679762.513","771384011261.412","817697534663.575","809304519912.401","828770913988.898","807947089029.563","830013415358.972","812746415172.166","834435287815.987","813726335883.782","",
"Armenia","ARM","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13241360919.6878","11692121892.7014","6804814620.63619","6205991016.07522","6541114703.64198","6992451514.55194","7402586818.19316","7648432626.15886","8206768207.05109","8477591558.04715","8977769460.05971","9835742702.03674","11132713294.1297","12695834751.8431","14024814655.9654","15969454960.0329","18077104187.4744","20562561750.2985","21981378511.4902","18871015949.344","19286178299.7628","20192628679.6198","21646497945.2911","22360832377.4857","23165822343.2071","23907128657.9503","23954942915.2245","25751563634.2596","27090644943.1518","",
"American Samoa","ASM","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1091398089.83986","1115156444.13712","1128073594.16709","1187636686.37401","1266925629.38297","1211694082.71283","1291724272.6635","1362396211.8152","1426855450.59797","1479761747.06437","1578783591.04445","1500569472.42079","1515936817.31734","1607770883.37954","1700000020.02661","1809010909.09872","2039270997.38327","2228095675.38344","2227424277.33893","1957738076.9528","1809452001.62053","1774011846.21298","1833846892.16354","1822827739.03627","1892017314.86325","1964392522.63697","2072390667.97912","2137578620.06971","2295528518.80634","",
"Australia","AUS","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","489240366825.682","487296949201.331","489307190964.816","509023377336.78","529296227179.694","549600343362.936","570917243746.629","593562657061.542","620728202283.187","652221376845.619","677873876421.555","690962824774.833","718610852542.334","740068144924.758","770081992443.796","794756652552.589","816966789364.888","848373521692.293","879406284066.747","896439695825.412","914973278854.356","937507114248.881","974240159611.1","999423051016.609","1024739590700.39","1047208441152.27","1076222991911.78","1101703833148.66","1134097600925.65","",
"Austria","AUT","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240638429125.976","248920307356.031","254131515498.673","255470304378.742","261607004500.765","268586636638.262","274897170587.213","280652416072.446","290703774150.975","301042163306.273","311204510285.066","315147994842.847","320352833911.359","323368862686.354","332213389842.666","339668475327.932","351400766569.942","364498932510.674","369822161218.874","355899916840.528","362438131708.544","373031463577.163","375569739671.208","375665527652.411","378149701789.275","381986036511.023","389941309902.305","399597987767.772","409267314573.187","",
