Entity,Code,Date,Case fatality rate of COVID-19 (%) (Only observations with ≥100 cases) (%)
Afghanistan,AFG,"Mar 29, 2020",2.8301886792452833
Afghanistan,AFG,"Mar 30, 2020",3.508771929824561
Afghanistan,AFG,"Mar 31, 2020",2.8368794326241136
Afghanistan,AFG,"Apr 1, 2020",2.4096385542168677
Albania,ALB,"Mar 24, 2020",4
Albania,ALB,"Mar 25, 2020",4.0650406504065035
Albania,ALB,"Mar 26, 2020",3.4246575342465753
Albania,ALB,"Mar 27, 2020",3.4482758620689653
Albania,ALB,"Mar 28, 2020",4.838709677419355
Albania,ALB,"Mar 29, 2020",5.0761421319796955
Albania,ALB,"Mar 30, 2020",4.716981132075472
Albania,ALB,"Mar 31, 2020",5.381165919282512
Albania,ALB,"Apr 1, 2020",6.172839506172839
Algeria,DZA,"Mar 23, 2020",14.705882352941178
Algeria,DZA,"Mar 24, 2020",8.994708994708994
Algeria,DZA,"Mar 25, 2020",7.35930735930736
Algeria,DZA,"Mar 26, 2020",6.4393939393939394
Algeria,DZA,"Mar 27, 2020",6.885245901639345
Algeria,DZA,"Mar 28, 2020",6.885245901639345
Algeria,DZA,"Mar 29, 2020",6.356968215158925
Algeria,DZA,"Mar 30, 2020",6.387665198237885
Algeria,DZA,"Mar 31, 2020",6.066536203522505
Algeria,DZA,"Apr 1, 2020",5.993150684931506
Andorra,AND,"Mar 23, 2020",0
Andorra,AND,"Mar 24, 2020",0
Andorra,AND,"Mar 25, 2020",0
Andorra,AND,"Mar 26, 2020",0
Andorra,AND,"Mar 27, 2020",1.3392857142857142
Andorra,AND,"Mar 28, 2020",1.1235955056179776
Andorra,AND,"Mar 29, 2020",1.2987012987012987
Andorra,AND,"Mar 30, 2020",1.7964071856287425
Andorra,AND,"Mar 31, 2020",2.1621621621621623
Andorra,AND,"Apr 1, 2020",3.1914893617021276
Argentina,ARG,"Mar 20, 2020",2.34375
Argentina,ARG,"Mar 21, 2020",1.89873417721519
Argentina,ARG,"Mar 22, 2020",1.7777777777777777
Argentina,ARG,"Mar 23, 2020",1.5037593984962405
Argentina,ARG,"Mar 24, 2020",1.3289036544850499
Argentina,ARG,"Mar 25, 2020",1.550387596899225
Argentina,ARG,"Mar 26, 2020",1.593625498007968
Argentina,ARG,"Mar 27, 2020",2.037351443123939
Argentina,ARG,"Mar 28, 2020",2.4637681159420293
Argentina,ARG,"Mar 29, 2020",2.5503355704697985
Argentina,ARG,"Mar 30, 2020",2.4390243902439024
Argentina,ARG,"Mar 31, 2020",2.484472049689441
Argentina,ARG,"Apr 1, 2020",2.484472049689441
Armenia,ARM,"Mar 19, 2020",0
Armenia,ARM,"Mar 20, 2020",0
Armenia,ARM,"Mar 21, 2020",0
Armenia,ARM,"Mar 22, 2020",0
Armenia,ARM,"Mar 23, 2020",0
Armenia,ARM,"Mar 24, 2020",0
Armenia,ARM,"Mar 25, 2020",0
Armenia,ARM,"Mar 26, 2020",0
Armenia,ARM,"Mar 27, 2020",0.303951367781155
Armenia,ARM,"Mar 28, 2020",0.2688172043010753
Armenia,ARM,"Mar 29, 2020",0.7075471698113208
Armenia,ARM,"Mar 30, 2020",0.7075471698113208
Armenia,ARM,"Mar 31, 2020",0.6224066390041494
Armenia,ARM,"Apr 1, 2020",0.5639097744360901
Australia,AUS,"Mar 10, 2020",3
Australia,AUS,"Mar 11, 2020",2.6785714285714284
Australia,AUS,"Mar 12, 2020",2.380952380952381
Australia,AUS,"Mar 13, 2020",1.9230769230769231
Australia,AUS,"Mar 14, 2020",1.5228426395939088
Australia,AUS,"Mar 15, 2020",1.2048192771084338
Australia,AUS,"Mar 16, 2020",1.6778523489932886
Australia,AUS,"Mar 17, 2020",1.3333333333333335
Australia,AUS,"Mar 18, 2020",1.1013215859030838
Australia,AUS,"Mar 19, 2020",1.0619469026548671
Australia,AUS,"Mar 20, 2020",0.846262341325811
Australia,AUS,"Mar 21, 2020",0.8009153318077803
Australia,AUS,"Mar 22, 2020",0.6375227686703097
Australia,AUS,"Mar 23, 2020",0.40959625511995323
Australia,AUS,"Mar 24, 2020",0.38398244651673064
Australia,AUS,"Mar 25, 2020",0.33016921172100705
Australia,AUS,"Mar 26, 2020",0.3929974991068239
Australia,AUS,"Mar 27, 2020",0.410612760581175
Australia,AUS,"Mar 28, 2020",0.3848431024274719
Australia,AUS,"Mar 29, 2020",0.36755053819900235
Australia,AUS,"Mar 30, 2020",0.3909113119960909
Australia,AUS,"Mar 31, 2020",0.41694096993636165
Australia,AUS,"Apr 1, 2020",0.42489908646696406
Austria,AUT,"Mar 9, 2020",0
Austria,AUT,"Mar 10, 2020",0
Austria,AUT,"Mar 11, 2020",0
Austria,AUT,"Mar 12, 2020",0
Austria,AUT,"Mar 13, 2020",0.2770083102493075
Austria,AUT,"Mar 14, 2020",0.1984126984126984
Austria,AUT,"Mar 15, 2020",0.15267175572519084
Austria,AUT,"Mar 16, 2020",0.11627906976744186
Austria,AUT,"Mar 17, 2020",0.2952755905511811
Austria,AUT,"Mar 18, 2020",0.22522522522522523
Austria,AUT,"Mar 19, 2020",0.24301336573511542
Austria,AUT,"Mar 20, 2020",0.273224043715847
Austria,AUT,"Mar 21, 2020",0.22650056625141565
Austria,AUT,"Mar 22, 2020",0.26455026455026454
Austria,AUT,"Mar 23, 2020",0.4406499586890664
Austria,AUT,"Mar 24, 2020",0.5572893446277307
Austria,AUT,"Mar 25, 2020",0.5679666792881485
Austria,AUT,"Mar 26, 2020",0.577445652173913
Austria,AUT,"Mar 27, 2020",0.7397922890880637
Austria,AUT,"Mar 28, 2020",0.883461088735871
Austria,AUT,"Mar 29, 2020",0.8201664455433603
Austria,AUT,"Mar 30, 2020",0.9758311585158288
Austria,AUT,"Mar 31, 2020",1.122894572676232
Austria,AUT,"Apr 1, 2020",1.2571204085641328
Azerbaijan,AZE,"Mar 27, 2020",2.459016393442623
Azerbaijan,AZE,"Mar 28, 2020",1.8181818181818181
Azerbaijan,AZE,"Mar 29, 2020",2.197802197802198
Azerbaijan,AZE,"Mar 30, 2020",1.9138755980861244
Azerbaijan,AZE,"Mar 31, 2020",1.465201465201465
Azerbaijan,AZE,"Apr 1, 2020",1.6778523489932886
Bahrain,BHR,"Mar 10, 2020",0
Bahrain,BHR,"Mar 11, 2020",0
Bahrain,BHR,"Mar 12, 2020",0
Bahrain,BHR,"Mar 13, 2020",0
Bahrain,BHR,"Mar 14, 2020",0
Bahrain,BHR,"Mar 15, 2020",0
Bahrain,BHR,"Mar 16, 2020",0
Bahrain,BHR,"Mar 17, 2020",0.4524886877828055
Bahrain,BHR,"Mar 18, 2020",0.42194092827004215
Bahrain,BHR,"Mar 19, 2020",0.390625
Bahrain,BHR,"Mar 20, 2020",0.37174721189591076
