Country,Date,Confirmed,Deaths,Recovered,Case fatality rate of COVID-19 (%),Daily new confirmed cases of COVID-19 (rolling 3-day average),Daily new confirmed deaths due to COVID-19 (rolling 3-day average)
Afghanistan,2020-03-29 00:00:00,120,4,5.0,2.8301886792452837,13.0,1.0
Afghanistan,2020-03-30 00:00:00,170,4,0.0,3.5087719298245608,16.666666666666668,0.6666666666666666
Afghanistan,2020-03-31 00:00:00,174,4,0.0,2.8368794326241136,20.0,0.3333333333333333
Afghanistan,2020-04-01 00:00:00,237,4,0.0,2.409638554216868,26.0,0.0
Albania,2020-03-24 00:00:00,123,5,0.0,4.0,15.666666666666664,1.0
Albania,2020-03-25 00:00:00,146,5,0.0,4.065040650406504,19.0,1.0
Albania,2020-03-26 00:00:00,174,6,3.0,3.4246575342465757,24.66666666666667,0.6666666666666666
Albania,2020-03-27 00:00:00,186,8,0.0,3.4482758620689653,21.0,1.3333333333333333
Albania,2020-03-28 00:00:00,197,10,19259.0,4.838709677419356,17.0,1.6666666666666667
Albania,2020-03-29 00:00:00,212,10,333.0,5.076142131979696,12.666666666666664,1.3333333333333333
Albania,2020-03-30 00:00:00,223,11,0.0,4.716981132075472,12.333333333333336,1.0
Albania,2020-03-31 00:00:00,243,15,0.0,5.381165919282512,15.333333333333336,1.6666666666666667
Albania,2020-04-01 00:00:00,259,15,0.0,6.172839506172839,15.5,2.5
Algeria,2020-03-23 00:00:00,230,17,68.0,14.705882352941178,31.66666666666667,2.333333333333333
Algeria,2020-03-24 00:00:00,264,19,0.0,8.994708994708995,45.66666666666666,2.333333333333333
Algeria,2020-03-25 00:00:00,302,21,0.0,7.359307359307361,54.0,0.6666666666666666
Algeria,2020-03-26 00:00:00,367,25,7.0,6.4393939393939394,38.66666666666666,1.3333333333333333
Algeria,2020-03-27 00:00:00,409,26,0.0,6.885245901639345,24.66666666666667,1.3333333333333333
Algeria,2020-03-28 00:00:00,454,29,17.0,6.885245901639345,48.33333333333334,3.0
Algeria,2020-03-29 00:00:00,511,31,0.0,6.356968215158925,49.66666666666666,2.6666666666666665
Algeria,2020-03-30 00:00:00,584,35,0.0,6.387665198237885,68.66666666666667,3.333333333333333
Algeria,2020-03-31 00:00:00,716,44,0.0,6.066536203522505,58.33333333333334,3.0
Algeria,2020-04-01 00:00:00,847,58,0.0,5.993150684931506,65.0,3.0
Andorra,2020-03-23 00:00:00,133,1,10361.0,0.0,19.33333333333333,0.0
Andorra,2020-03-24 00:00:00,164,1,1.0,0.0,25.33333333333333,0.0
Andorra,2020-03-25 00:00:00,188,1,11.0,0.0,25.0,0.0
Andorra,2020-03-26 00:00:00,224,3,23.0,0.0,30.33333333333333,1.0
Andorra,2020-03-27 00:00:00,267,3,1.0,1.3392857142857142,34.333333333333336,1.0
Andorra,2020-03-28 00:00:00,308,3,1.0,1.1235955056179776,40.0,1.3333333333333333
Andorra,2020-03-29 00:00:00,334,6,13.0,1.2987012987012987,36.66666666666666,1.0
Andorra,2020-03-30 00:00:00,370,8,0.0,1.7964071856287425,34.333333333333336,1.6666666666666667
Andorra,2020-03-31 00:00:00,376,12,0.0,2.1621621621621623,22.66666666666667,2.6666666666666665
Andorra,2020-04-01 00:00:00,390,14,0.0,3.191489361702128,21.0,3.0
Argentina,2020-03-20 00:00:00,128,3,0.0,2.34375,26.33333333333333,0.3333333333333333
Argentina,2020-03-21 00:00:00,158,4,0.0,1.89873417721519,42.66666666666666,0.6666666666666666
Argentina,2020-03-22 00:00:00,266,4,0.0,1.7777777777777777,46.0,0.3333333333333333
Argentina,2020-03-23 00:00:00,301,4,1.0,1.5037593984962403,47.66666666666666,0.3333333333333333
Argentina,2020-03-24 00:00:00,387,6,259.0,1.32890365448505,54.0,0.6666666666666666
Argentina,2020-03-25 00:00:00,387,8,1.0,1.5503875968992251,78.66666666666667,1.3333333333333333
Argentina,2020-03-26 00:00:00,502,9,0.0,1.593625498007968,96.0,2.6666666666666665
Argentina,2020-03-27 00:00:00,589,13,115.0,2.037351443123939,101.0,3.6666666666666665
Argentina,2020-03-28 00:00:00,690,18,1823.0,2.4637681159420293,81.0,3.6666666666666665
Argentina,2020-03-29 00:00:00,745,19,0.0,2.5503355704697985,77.0,2.6666666666666665
Argentina,2020-03-30 00:00:00,820,23,0.0,2.4390243902439024,92.0,2.333333333333333
Argentina,2020-03-31 00:00:00,1054,27,0.0,2.4844720496894412,73.66666666666667,1.6666666666666667
Argentina,2020-04-01 00:00:00,1054,28,0.0,2.4844720496894412,73.0,2.0
Armenia,2020-03-19 00:00:00,115,0,325.0,0.0,23.33333333333333,0.0
Armenia,2020-03-20 00:00:00,136,0,0.0,0.0,19.33333333333333,0.0
Armenia,2020-03-21 00:00:00,160,0,0.0,0.0,15.0,0.0
Armenia,2020-03-22 00:00:00,194,0,0.0,0.0,22.66666666666667,0.0
Armenia,2020-03-23 00:00:00,235,0,2.0,0.0,19.33333333333333,0.0
Armenia,2020-03-24 00:00:00,249,0,9.0,0.0,35.0,0.0
Armenia,2020-03-25 00:00:00,265,0,1.0,0.0,33.333333333333336,0.0
Armenia,2020-03-26 00:00:00,290,1,1.0,0.0,45.0,0.3333333333333333
Armenia,2020-03-27 00:00:00,329,1,27.0,0.30395136778115506,35.666666666666664,0.3333333333333333
Armenia,2020-03-28 00:00:00,407,1,0.0,0.2688172043010753,44.66666666666666,1.0
Armenia,2020-03-29 00:00:00,424,3,0.0,0.7075471698113208,31.66666666666667,0.6666666666666666
Armenia,2020-03-30 00:00:00,482,3,0.0,0.7075471698113208,36.66666666666666,0.6666666666666666
Armenia,2020-03-31 00:00:00,532,3,0.0,0.6224066390041494,36.0,0.0
